cust_no,shouxin_date,if_t4,if_t1,fpd4,fpd1,score_chal,score_add,score_orig,score_bc1,score_bc2,v3_newfeat30_score,xgb_lr_score
160052328175,2020-03-14,1,1,0.0,0.0,0.26676871445565475,0.025812764,0.160758016700204,0.06881396,0.016539179,,0.02178210134403528
160053071556,2020-04-02,1,1,0.0,0.0,0.2586986488032698,0.005079466,-0.3643699798602522,0.06881396,0.016539179,,0.01470198102951189
160053076726,2020-04-03,1,1,0.0,0.0,0.23249513719426376,0.012840807,-0.15688534017213004,0.06881396,0.016539179,,0.005784956115166858
160053147091,2020-04-04,1,1,0.0,0.0,0.29069051448441247,0.028496338,1.062007362279291,0.06881396,0.016539179,,0.08257828741959114
160053516649,2020-04-12,1,1,0.0,1.0,0.2431369581428904,0.010650762,0.4520545753371694,0.06881396,0.016539179,,0.061678708204090625
160053586162,2020-04-14,1,1,0.0,0.0,0.24789508082276732,0.020921104,1.2711585962793421,0.06881396,0.016539179,,0.01593497362100457
160053726388,2020-04-17,0,0,,,0.23426571453651396,0.017345339,-0.0643932645404234,0.06881396,0.016539179,,0.05298122489936557
160054050170,2020-04-25,0,0,,,0.22581160997263502,0.02495234,0.285742713876703,0.06881396,0.016539179,,0.0878784910092701
160054078825,2020-04-25,1,1,0.0,0.0,0.24883508794211068,0.017294405,0.21654128800105027,0.06881396,0.016539179,,0.04420400855605264
160054155587,2020-04-27,0,0,,,0.30488826285402737,0.012717978,0.6902189661970057,0.06881396,0.016539179,,0.020244494274295248
160054188573,2020-04-28,1,1,0.0,1.0,0.3139472234028845,0.019210616,1.5479379342834514,0.06881396,0.016539179,,0.02691571766901071
160054341370,2020-05-02,1,1,0.0,0.0,0.3022927847025304,0.07153818,2.408510413619186,0.063917086,0.04647659,,0.111488478149291
160054716196,2020-05-10,0,0,,,0.28739796593899036,0.06771662,2.0755785541083194,0.061200023,0.023632323,,0.04715971738107722
160054836386,2020-05-12,0,0,,,0.27712258311723287,0.024852168,1.4227187755821018,0.022210496,0.018403629,,0.030560828340089607
160055054568,2020-05-18,0,0,,,0.29507182163902157,0.040564466,0.29817788177177074,0.054618623,0.017139519,,0.03933739610847765
160055685856,2020-06-06,1,1,0.0,0.0,0.25531522204703916,0.01735255,-0.5800920238458763,0.017617729,0.011881224,,0.01858889635841645
160056380378,2020-06-20,0,0,,,0.2327417239421537,0.012409752,0.6938822933131152,0.06425904,0.022807796,,0.029118750446552214
160056757577,2020-07-01,1,1,0.0,0.0,0.3296487172865423,0.016401447,0.6403156006046381,0.018017752,0.020910857,,0.025157630745805404
160056875724,2020-07-01,0,0,,,0.2538292441535002,0.04959035,2.1667076033803174,0.02386136,0.008925878,,0.06194269798697045
160057007337,2020-07-03,0,0,,,0.2524069177481698,0.024069631,0.27812703398859795,0.037911538,0.03468254,,0.02913593586330742
160057201257,2020-07-07,0,0,,,0.21857712129117524,0.013647114,0.8409107799132185,0.02816981,0.019000737,,0.0356220522973367
160057335994,2020-07-08,0,0,,,0.23674388768494986,0.008280208,-0.03940181280284136,0.018181033,0.00995929,,0.01819504255268108
160057750176,2020-07-17,0,0,,,0.2530152899933626,0.007326873,-0.4381350987276166,0.037572548,0.01761192,0.02300329,0.015490978577697243
160057813151,2020-07-18,0,0,,,0.3436814426978798,0.118114606,3.7544874328077222,0.015926497,0.015710255,0.08603469999999999,0.06010563407701223
160057910761,2020-07-20,1,1,0.0,0.0,0.31973139334405626,0.050652694,4.147405507589715,0.04442463,0.017861223,0.03572041,0.07030008372185903
160058496572,2020-07-29,0,0,,,0.26154312885912084,0.026588937,0.9506276956206188,0.029463531,0.016907953,0.05011686,0.04670472143278855
160058915103,2020-08-06,0,0,,,0.22056964310036378,0.021610094,0.02744435497197218,0.021157311,0.015372175,0.015740877,0.009799125902046386
160059153273,2020-08-12,1,1,0.0,0.0,0.31314791289755217,0.035161383,0.3858819903502725,0.033263803,0.025054572,0.08987663,0.0676178235610281
160059307831,2020-08-13,1,1,0.0,0.0,0.31138144605008644,0.06518564,0.5826879710730241,0.042559776,0.042255927,0.07103321,0.05389310372023337
160060080307,2020-08-28,0,0,,,0.27362656897992277,0.026016256,1.5656580297208478,0.018461013,0.009924464,0.05177901,0.07341518562137894
160060088038,2020-08-28,0,0,,,0.28515564893384865,0.033656392,1.0397812379608422,0.0251179,0.021454949,0.15234639,0.08136576140796432
160060184119,2020-08-30,1,1,0.0,0.0,0.26890938292141703,0.060240388,1.7262871529968224,0.03152556,0.01913125,0.054068252000000004,0.06189629374485666
160060757455,2020-09-09,0,0,,,0.20792709241824897,0.005848735,-0.1173619366904301,0.021356417,0.018028172,0.011894028000000001,0.006665937859808309
160061045146,2020-09-14,0,0,,,0.23231181523954156,0.011979901,-0.19030550078658648,0.01739057,0.015047221,0.012602737,0.03871036713547419
160061217764,2020-10-25,0,0,,,0.30985876481867597,0.016099226,0.8058052591133309,0.07869035,0.02374507,0.028939122,0.0196702546248086
160061424699,2020-09-22,1,1,0.0,0.0,0.25899672110950456,0.019952435,-0.009131054106037685,0.019723138,0.013273976,0.024862252,0.0242959247469573
160061645952,2020-09-27,0,0,,,0.2372189546493382,0.018559393,-0.026645784618180738,0.06325151,0.01880894,0.022002315,0.01753886727828679
160061893555,2020-10-02,0,0,,,0.2666273949788254,0.023469815,0.3303794341395726,0.053751748,0.027476437,0.07154806,0.030753905010171133
160061903002,2020-10-03,1,1,0.0,0.0,0.2945058133612998,0.03635636,0.4739487135890792,0.022806302,0.013528738,0.013176357,0.026102712038575632
160061991766,2020-10-05,1,1,0.0,0.0,0.1995955673880606,0.011188218,0.5158406873924269,0.025398646,0.011682467,0.023816075,0.0120711921293693
160062027213,2020-10-06,1,1,0.0,0.0,0.20735800672085417,0.015678875,-0.061169994501369625,0.058965556,0.023334257,0.02002084,0.01900249027174924
160062313723,2020-10-11,1,1,0.0,0.0,0.2308327595159713,0.01312295,-0.015157017999860821,0.08849643,0.021510499,0.042765472,0.014313435425610319
160062881034,2020-10-20,0,0,,,0.21818400911106076,0.014841818,-0.12249882589999733,0.06881396,0.016539179,0.060411643,0.028911471560305338
160062974092,2020-10-21,0,0,,,0.44173994761131996,0.03381433,1.7914875207147165,0.06881396,0.016539179,0.113692865,0.0455187747170074
160064067842,2020-11-06,0,0,,,0.22718537103191366,0.0105111385,-0.7354180645206924,0.06881396,0.016539179,,0.032601087204616935
160064302383,2020-11-10,0,0,,,0.3315757430753092,0.0128659755,0.40829926463271127,0.06881396,0.016539179,,0.023018983390882056
160064371298,2020-11-11,0,0,,,0.25969907878672255,0.01649926,0.18367573421776862,0.06881396,0.016539179,,0.031080035035012325
160064599152,2020-11-15,0,0,,,0.20699017797579908,0.017780773,0.2295340013499847,0.06881396,0.016539179,,0.021231424716014257
160064656995,2020-11-16,0,0,,,0.1868716855422198,0.017566256,0.1645639557329435,0.06881396,0.016539179,,
160064698119,2020-11-16,0,0,,,0.2610037233376318,0.04968235,5.418318989572994,0.06881396,0.016539179,,
160031293395,2020-04-03,0,0,,,0.21714422248446041,0.010700181,0.357541316052587,0.06881396,0.016539179,,0.010486494635361642
160033816873,2020-08-11,0,0,,,0.34766519570965193,0.014069671,-0.15334947519812817,0.039995003,0.034385506,0.05362582,0.03152007133224718
160038373938,2020-06-12,0,0,,,0.27954022064332557,0.011077686,0.35586086744638146,0.03582294,0.02447761,,0.07864828523421416
160052305682,2020-03-14,1,1,0.0,0.0,0.25949718154632323,0.05733218,1.6720661147447529,0.06881396,0.016539179,,0.025231037450876397
160052362526,2020-03-29,0,0,,,0.27914479846987345,0.015849808,0.2951321092566893,0.06881396,0.016539179,,0.01045432617808287
160052739460,2020-03-25,0,0,,,0.2997227063350882,0.06453406,1.3727800568727728,0.06881396,0.016539179,,0.04410822002311599
160052824301,2020-03-27,0,0,,,0.38160252239297643,0.19248007,6.933266129139283,0.06881396,0.016539179,,0.32816058223980665
160052861579,2020-03-28,0,0,,,0.26429775247029014,0.012466602,0.5138201828326997,0.06881396,0.016539179,,0.033375653483790534
160052870165,2020-04-01,1,1,0.0,0.0,0.31841768022425376,0.02707297,1.232250406554807,0.06881396,0.016539179,,0.015097126369545397
160052911135,2020-06-19,1,1,1.0,1.0,0.37509986623905806,0.102265276,5.408532585097772,0.11069838,0.062888205,,0.244223054452486
160053472403,2020-04-11,1,1,0.0,0.0,0.2336819536826598,0.013258102,0.5572065377662152,0.06881396,0.016539179,,0.013273402057778187
160053520885,2020-04-12,0,0,,,0.35032659395764865,0.0121868,0.06041831767253964,0.06881396,0.016539179,,0.013827809739878488
160053666264,2020-04-16,1,1,0.0,0.0,0.30852438927440845,0.051575378,5.391123531628184,0.06881396,0.016539179,,0.12660542997910953
160053987773,2020-04-23,1,1,0.0,0.0,0.2881724613733161,0.08286936,2.393333981153998,0.06881396,0.016539179,,0.07100256216946574
160054153796,2020-04-27,1,1,0.0,0.0,0.3738942590465813,0.033102732,0.36120979141564125,0.06881396,0.016539179,,0.03207620799439164
160054196246,2020-04-28,0,0,,,0.4295384586485592,0.15262838,6.324187115194763,0.06881396,0.016539179,,0.14952474293900847
160054444657,2020-05-04,0,0,,,0.4719838921213859,0.17533897,7.296715578164088,0.03656151,0.022347722,,0.1906580062999381
160054784142,2020-05-11,1,1,0.0,0.0,0.24455601778324795,0.046177346,-0.3788470306399554,0.0704348,0.022650361,,0.044564684237734166
160055092894,2020-05-19,0,0,,,0.2855286612288327,0.043424092,3.4399551738046084,0.040598053,0.02294321,,0.0786504507206871
160055464847,2020-05-31,0,0,,,0.25592156554931134,0.017091965,-0.3724619181523099,0.042967334,0.023514105,,0.028473976797488382
160055615533,2020-06-04,0,0,,,0.23537660785264178,0.011675895,-0.41059439813074095,0.025176102,0.01147864,,0.009709527263106109
160056128167,2020-06-16,0,0,,,0.2614106595703712,0.014531838,0.2813970671930587,0.039111666,0.022448225,,0.02841211944588602
160056544996,2020-06-23,0,0,,,0.19288608388949102,0.017979894,1.0317990594179691,0.024445187,0.017027462,,0.006565856751288663
160056932970,2020-07-02,1,1,0.0,0.0,0.3088595676102736,0.023805205,0.2270689078437031,0.0715706,0.022807796,,0.04125191106769981
160057034571,2020-07-03,0,0,,,0.26461454689035646,0.05770275,0.8738415105030299,0.030816013,0.020976929,,0.030336529761621708
160057098093,2020-07-04,0,0,,,0.20109604782348683,0.043556858,1.2188365248829878,0.025499381,0.016111255,,0.0159768821943569
160057203228,2020-07-06,1,1,0.0,0.0,0.278692451312652,0.03071696,0.7766015100779905,0.030951452,0.027493542,,0.01945538354968473
160057552487,2020-07-13,1,1,0.0,0.0,0.256606528445121,0.011254288,0.37422669618517135,0.046861034,0.038989022,,0.009256645841270363
160057618372,2020-07-14,0,0,,,0.24051995543767016,0.0055813594,-0.40418792510247104,0.013941742,0.011194904,,0.02511682789797029
160057769201,2020-07-17,1,1,0.0,0.0,0.22478197578323872,0.017816884,0.4916365497205393,0.019325664,0.021595128,0.020234177,0.011379780197075936
160057872961,2020-07-19,0,0,,,0.2719927686298707,0.010244641,-0.06834668994630055,0.032489322,0.02578096,0.035407588,0.016106870038169702
160057873193,2020-07-20,1,1,0.0,0.0,0.2294234070495156,0.024944417,0.2813970671930587,0.008534706,0.006791643,0.019859377,0.009711424581644442
160058238584,2020-07-25,1,1,0.0,0.0,0.2144746976531453,0.015173593,0.5241942487747959,0.036130395,0.017637672,0.022470739,0.019147790822525358
160058938177,2020-08-07,0,0,,,0.3186789363844518,0.027332973,3.582742847294731,0.04957891,0.029061545,0.03657356,0.0573588702986204
160059742048,2020-08-21,1,1,0.0,1.0,0.33088373186027853,0.018018546,0.7339333405817462,0.05819115,0.020574564,0.029388746,0.02719623487439328
160059839684,2020-08-23,1,1,0.0,0.0,0.3292323629318452,0.03099639,0.48139747870753924,0.023326434,0.013416927,0.05110678,0.034092290781532794
160060701067,2020-09-08,0,0,,,0.21423644467134212,0.0068884534,-0.3663022274938754,0.017211817,0.0100273825,0.020356815,0.013524895689466576
160060733483,2020-09-09,0,0,,,0.37549671148370767,0.068519935,4.8405078751727615,0.05906128,0.05837511,0.11223878,0.1101806500568731
160060904866,2020-09-11,0,0,,,0.315690728018463,0.010419862,-0.27471720784714915,0.013349061,0.021854203,0.018339893,0.012303150631326332
160060963997,2020-09-13,0,0,,,0.2699637516912125,0.07094108,3.549031739790985,0.030865882,0.020550054,0.11068491,0.13664611415042854
160061120594,2020-09-16,0,0,,,0.2937656044164691,0.03689649,1.5318623209083468,0.07139315,0.026225997,0.09549008,0.09598147513781433
